Date,AAPL,AMZN,GOOG,META,MSFT,NVDA,TSLA,EndOfMonth
2023-01-03,123.7684555053711,85.81999969482422,89.4802474975586,124.36554718017578,235.71170043945312,14.304595947265625,108.0999984741211,False
2023-01-04,125.04503631591797,85.13999938964844,88.49268341064453,126.98765563964844,225.4009246826172,14.738279342651367,113.63999938964844,False
2023-01-05,123.7189712524414,83.12000274658203,86.55742645263672,126.55894470214844,218.72055053710938,14.254630088806152,110.33999633789062,False
2023-01-06,128.27110290527344,86.08000183105469,87.94403076171875,129.62969970703125,221.29824829101562,14.848199844360352,113.05999755859375,False
2023-01-09,128.79559326171875,87.36000061035156,88.58245849609375,129.08135986328125,223.452880859375,15.6166410446167,119.7699966430664,False
2023-01-10,129.36953735351562,89.87000274658203,89.02137756347656,132.5907745361328,225.15496826171875,15.897439002990723,118.8499984741211,False
2023-01-11,132.10084533691406,95.08999633789062,92.03398895263672,132.4910888671875,231.96324157714844,15.98936939239502,123.22000122070312,False
2023-01-12,132.02169799804688,95.2699966430664,91.68484497070312,136.29962158203125,234.6589813232422,16.498998641967773,123.55999755859375,False
2023-01-13,133.3576202392578,98.12000274658203,92.57266235351562,136.5688018798828,235.36737060546875,16.88671875,122.4000015258789,False
2023-01-17,134.5253448486328,96.05000305175781,91.93423461914062,134.95367431640625,236.46926879882812,17.68913459777832,131.49000549316406,False
2023-01-18,133.8029327392578,95.45999908447266,91.5551528930664,132.6206817626953,232.0025634765625,17.364370346069336,128.77999877929688,False
2023-01-19,133.86231994628906,93.68000030517578,93.67994689941406,135.7412872314453,228.1852264404297,16.7528133392334,127.16999816894531,False
2023-01-20,136.43524169921875,97.25,99.03678131103516,138.95162963867188,236.3413848876953,17.826034545898438,133.4199981689453,False
2023-01-23,139.64157104492188,97.5199966430664,100.96205139160156,142.83993530273438,238.66326904296875,19.17905044555664,143.75,False
2023-01-24,141.04676818847656,96.31999969482422,98.96694946289062,142.71031188964844,238.13197326660156,19.250995635986328,143.88999938964844,False
2023-01-25,140.3837432861328,97.18000030517578,96.49303436279297,141.0752410888672,236.72508239746094,19.3089542388916,144.42999267578125,False
2023-01-26,142.46189880371094,99.22000122070312,98.91708374023438,146.85781860351562,243.9957733154297,19.78760528564453,160.27000427246094,False
2023-01-27,144.411376953125,102.23999786376953,100.4632797241211,151.28451538085938,244.1531982421875,20.350196838378906,177.89999389648438,False
2023-01-30,141.5118865966797,100.55000305175781,97.71003723144531,146.61854553222656,238.79116821289062,19.148073196411133,166.66000366210938,False
2023-01-31,142.78843688964844,103.12999725341797,99.6253433227539,148.52281188964844,243.80885314941406,19.522802352905273,173.22000122070312,True
2023-02-01,143.91659545898438,105.1500015258789,101.1815185546875,152.6603546142578,248.66903686523438,20.927780151367188,181.41000366210938,False
2023-02-02,149.25050354003906,112.91000366210938,108.53346252441406,188.20333862304688,260.3277282714844,21.693222045898438,188.27000427246094,False
2023-02-03,152.89219665527344,103.38999938964844,104.96223449707031,185.97006225585938,254.1786651611328,21.084665298461914,189.97999572753906,False
2023-02-06,150.15103149414062,102.18000030517578,103.21652221679688,185.50146484375,252.62413024902344,21.073673248291016,194.75999450683594,False
2023-02-07,153.04063415527344,102.11000061035156,107.77532958984375,191.04478454589844,263.2399597167969,22.156885147094727,196.80999755859375,False
2023-02-08,150.3390655517578,100.05000305175781,99.75502014160156,182.87936401367188,262.4233703613281,22.188859939575195,201.2899932861328,False
2023-02-09,149.29998779296875,98.23999786376953,95.22614288330078,177.38592529296875,259.363525390625,22.320768356323242,207.32000732421875,False
2023-02-10,149.6666717529297,97.61000061035156,94.62760925292969,173.62722778320312,258.8519592285156,21.249544143676758,196.88999938964844,False
2023-02-13,152.48143005371094,99.54000091552734,94.76726531982422,178.89138793945312,266.939208984375,21.77216339111328,194.63999938964844,False
2023-02-14,151.8372039794922,99.69999694824219,94.71739196777344,178.94122314453125,267.7755126953125,22.954301834106445,209.25,False
2023-02-15,153.94825744628906,101.16000366210938,96.86212158203125,176.62818908691406,265.63519287109375,22.747455596923828,214.24000549316406,False
2023-02-16,152.34266662597656,98.1500015258789,95.54535675048828,171.92236328125,258.56329345703125,21.98600959777832,202.0399932861328,False
2023-02-17,151.19297790527344,97.19999694824219,94.35826873779297,172.36105346679688,254.5292205810547,21.372451782226562,208.30999755859375,False
2023-02-21,147.1591796875,94.58000183105469,91.82450103759766,171.56344604492188,249.21299743652344,20.639986038208008,197.3699951171875,False
2023-02-22,147.58535766601562,95.79000091552734,91.57511138916016,170.6063232421875,248.06887817382812,20.738916397094727,200.86000061035156,False
2023-02-23,148.0709991455078,95.81999969482422,90.84689331054688,171.5235595703125,251.28427124023438,23.646799087524414,202.07000732421875,False
2023-02-24,145.40493774414062,93.5,89.131103515625,169.87852478027344,245.81021118164062,23.269075393676758,196.8800048828125,False
2023-02-27,146.6041717529297,93.76000213623047,89.8792724609375,169.03106689453125,246.7373504638672,23.483919143676758,207.6300048828125,False
2023-02-28,146.09869384765625,94.2300033569336,90.07878875732422,174.41485595703125,246.00747680664062,23.19912338256836,205.7100067138672,True
2023-03-01,144.0173797607422,92.16999816894531,90.28826904296875,172.8994140625,242.90057373046875,22.681503295898438,202.77000427246094,False
2023-03-02,144.612060546875,92.12999725341797,92.08385467529297,174.00608825683594,247.67434692382812,23.297056198120117,190.89999389648438,False
2023-03-03,149.6865234375,94.9000015258789,93.78966522216797,184.69390869140625,251.79713439941406,23.872634887695312,197.7899932861328,False
